Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[210/1010] 	| 88.69 | 98.02 | 59.23 | 85.42 |
[211/1010] 	| 88.02 | 97.95 | 60.32 | 87.30 |
[212/1010] 	| 88.88 | 98.27 | 62.10 | 85.91 |
[213/1010] 	| 88.62 | 98.09 | 62.80 | 86.21 |
[214/1010] 	| 89.98 | 98.30 | 59.42 | 86.31 |
[215/1010] 	| 88.76 | 97.94 | 58.33 | 85.71 |
[216/1010] 	| 88.04 | 97.86 | 59.42 | 85.22 |
[217/1010] 	| 88.90 | 98.11 | 59.33 | 85.42 |
[218/1010] 	| 89.49 | 98.11 | 61.11 | 86.31 |
[219/1010] 	| 89.02 | 98.13 | 59.52 | 86.21 |
[220/1010] 	| 89.29 | 98.19 | 59.13 | 86.61 |
[221/1010] 	| 89.40 | 98.30 | 58.23 | 85.42 |
[222/1010] 	| 89.00 | 97.92 | 60.81 | 86.81 |
[223/1010] 	| 89.59 | 98.25 | 60.52 | 87.30 |
[224/1010] 	| 89.57 | 98.35 | 59.03 | 87.40 |
[225/1010] 	| 89.80 | 98.18 | 60.32 | 86.51 |
[226/1010] 	| 89.15 | 98.04 | 60.12 | 85.71 |
[227/1010] 	| 90.32 | 98.44 | 60.12 | 86.51 |
[228/1010] 	| 89.32 | 98.18 | 59.82 | 86.31 |
[229/1010] 	| 89.52 | 98.34 | 63.00 | 85.52 |
[230/1010] 	| 89.84 | 98.27 | 60.52 | 86.71 |
[231/1010] 	| 89.81 | 98.30 | 58.93 | 86.31 |
[232/1010] 	| 89.50 | 98.27 | 61.11 | 84.52 |
[233/1010] 	| 89.82 | 98.37 | 62.50 | 86.90 |
[234/1010] 	| 89.39 | 98.31 | 61.21 | 85.71 |
[235/1010] 	| 89.71 | 98.23 | 60.62 | 87.10 |
[236/1010] 	| 90.01 | 98.49 | 59.23 | 87.20 |
[237/1010] 	| 90.00 | 98.17 | 61.01 | 85.71 |
[238/1010] 	| 89.45 | 98.23 | 61.81 | 86.41 |
[239/1010] 	| 90.16 | 98.33 | 60.91 | 85.81 |
