Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[279/1010] 	| 93.53 | 99.32 | 69.25 | 89.68 |
[280/1010] 	| 93.96 | 99.32 | 67.86 | 90.28 |
[281/1010] 	| 93.74 | 99.12 | 69.05 | 90.87 |
[282/1010] 	| 93.73 | 99.19 | 69.94 | 89.98 |
[283/1010] 	| 93.69 | 99.13 | 70.24 | 90.58 |
[284/1010] 	| 93.95 | 99.20 | 68.85 | 90.77 |
[285/1010] 	| 93.72 | 99.31 | 69.74 | 91.17 |
[286/1010] 	| 93.64 | 99.12 | 71.13 | 90.87 |
[287/1010] 	| 93.77 | 99.23 | 68.65 | 89.78 |
[288/1010] 	| 93.63 | 99.20 | 68.65 | 89.68 |
[289/1010] 	| 94.05 | 99.37 | 68.85 | 90.97 |
[290/1010] 	| 94.01 | 99.41 | 67.96 | 89.09 |
[291/1010] 	| 93.95 | 99.23 | 68.85 | 90.87 |
[292/1010] 	| 93.35 | 99.23 | 70.14 | 90.67 |
[293/1010] 	| 93.95 | 99.23 | 69.64 | 90.38 |
[294/1010] 	| 93.61 | 99.00 | 69.84 | 89.88 |
[295/1010] 	| 93.64 | 99.20 | 68.95 | 88.79 |
[296/1010] 	| 93.45 | 99.29 | 67.86 | 91.17 |
[297/1010] 	| 94.47 | 99.27 | 71.33 | 91.07 |
[298/1010] 	| 94.06 | 99.30 | 67.56 | 90.87 |
[299/1010] 	| 93.98 | 99.25 | 70.14 | 91.07 |
[300/1010] 	| 94.05 | 99.18 | 70.54 | 89.68 |
[301/1010] 	| 93.34 | 99.07 | 70.14 | 90.67 |
[302/1010] 	| 93.98 | 99.15 | 69.44 | 89.88 |
[303/1010] 	| 93.99 | 99.21 | 67.56 | 88.99 |
[304/1010] 	| 94.27 | 99.30 | 70.34 | 91.27 |
[305/1010] 	| 94.35 | 99.40 | 69.94 | 91.27 |
[306/1010] 	| 93.95 | 99.28 | 70.83 | 90.97 |
