Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[167/1010] 	| 61.75 | 88.00 | 51.98 | 81.05 |
[168/1010] 	| 61.43 | 87.84 | 53.97 | 82.44 |
[169/1010] 	| 61.80 | 88.19 | 51.98 | 82.44 |
[170/1010] 	| 61.15 | 87.97 | 54.96 | 82.74 |
[171/1010] 	| 61.63 | 88.40 | 51.39 | 82.74 |
[172/1010] 	| 60.64 | 87.64 | 53.87 | 82.84 |
[173/1010] 	| 61.73 | 88.30 | 53.97 | 80.36 |
[174/1010] 	| 62.23 | 88.30 | 53.08 | 83.23 |
[175/1010] 	| 61.18 | 87.78 | 51.59 | 80.65 |
[176/1010] 	| 61.57 | 88.23 | 54.37 | 82.04 |
[177/1010] 	| 62.48 | 88.40 | 54.56 | 82.24 |
[178/1010] 	| 62.30 | 88.87 | 52.98 | 80.85 |
[179/1010] 	| 62.20 | 88.19 | 54.07 | 82.54 |
[180/1010] 	| 63.09 | 88.95 | 53.97 | 81.25 |
[181/1010] 	| 62.14 | 88.10 | 53.77 | 82.04 |
[182/1010] 	| 62.87 | 88.78 | 52.08 | 81.94 |
[183/1010] 	| 64.05 | 88.81 | 50.00 | 80.46 |
[184/1010] 	| 62.60 | 88.95 | 53.17 | 81.94 |
[185/1010] 	| 63.08 | 88.43 | 54.66 | 82.44 |
[186/1010] 	| 63.01 | 89.38 | 51.59 | 82.44 |
[187/1010] 	| 62.52 | 88.50 | 53.87 | 83.93 |
[188/1010] 	| 62.57 | 88.86 | 54.56 | 81.45 |
[189/1010] 	| 63.33 | 89.36 | 53.17 | 80.56 |
[190/1010] 	| 63.72 | 89.54 | 50.79 | 84.33 |
[191/1010] 	| 64.54 | 89.67 | 52.98 | 84.62 |
[192/1010] 	| 64.40 | 89.38 | 54.17 | 82.54 |
[193/1010] 	| 65.14 | 90.04 | 54.07 | 82.04 |
[194/1010] 	| 63.07 | 88.49 | 51.29 | 80.16 |
[195/1010] 	| 63.56 | 89.21 | 51.09 | 81.25 |
[196/1010] 	| 64.47 | 89.75 | 54.46 | 81.35 |
[197/1010] 	| 64.32 | 89.54 | 52.48 | 82.64 |
[198/1010] 	| 64.71 | 89.86 | 52.58 | 81.55 |
[199/1010] 	| 64.31 | 89.54 | 51.98 | 81.45 |
[200/1010] 	| 64.60 | 89.25 | 51.09 | 80.65 |
[201/1010] 	| 63.45 | 89.01 | 55.95 | 82.74 |
[202/1010] 	| 64.44 | 89.64 | 52.68 | 81.75 |
[203/1010] 	| 64.70 | 89.64 | 53.77 | 82.54 |
[204/1010] 	| 65.32 | 90.05 | 54.86 | 82.54 |
[205/1010] 	| 64.30 | 89.50 | 50.89 | 81.45 |
[206/1010] 	| 65.12 | 89.87 | 54.37 | 81.85 |
[207/1010] 	| 65.12 | 90.24 | 54.17 | 81.94 |
[208/1010] 	| 64.97 | 89.61 | 52.38 | 82.74 |
[209/1010] 	| 62.13 | 88.89 | 53.97 | 82.74 |
[210/1010] 	| 62.84 | 88.83 | 52.28 | 82.94 |
[211/1010] 	| 65.20 | 89.84 | 52.08 | 81.35 |
[212/1010] 	| 65.55 | 89.92 | 54.46 | 81.65 |
[213/1010] 	| 64.75 | 89.57 | 49.31 | 82.24 |
[214/1010] 	| 65.27 | 89.87 | 55.06 | 83.04 |
[215/1010] 	| 65.46 | 89.91 | 55.36 | 81.25 |
[216/1010] 	| 65.10 | 90.19 | 52.58 | 82.34 |
