Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[252/1010] 	| 84.93 | 97.40 | 66.77 | 90.87 |
[253/1010] 	| 84.90 | 97.14 | 68.25 | 89.88 |
[254/1010] 	| 84.70 | 97.35 | 69.25 | 90.87 |
[255/1010] 	| 85.19 | 97.34 | 66.77 | 89.19 |
[256/1010] 	| 85.59 | 97.36 | 67.16 | 88.79 |
[257/1010] 	| 86.02 | 97.66 | 66.47 | 88.79 |
[258/1010] 	| 85.78 | 97.42 | 67.16 | 88.59 |
[259/1010] 	| 85.65 | 97.79 | 69.84 | 89.98 |
[260/1010] 	| 86.53 | 97.91 | 65.97 | 88.59 |
[261/1010] 	| 86.50 | 97.60 | 67.06 | 87.90 |
[262/1010] 	| 86.60 | 98.15 | 64.88 | 89.19 |
[263/1010] 	| 86.43 | 97.85 | 66.37 | 88.49 |
[264/1010] 	| 86.57 | 97.76 | 68.25 | 88.69 |
[265/1010] 	| 85.59 | 97.83 | 67.26 | 87.90 |
[266/1010] 	| 86.81 | 97.75 | 66.57 | 88.10 |
[267/1010] 	| 87.27 | 97.95 | 66.57 | 86.41 |
[268/1010] 	| 85.98 | 97.68 | 65.38 | 87.50 |
[269/1010] 	| 87.53 | 98.28 | 67.76 | 88.79 |
[270/1010] 	| 86.97 | 97.85 | 64.68 | 89.58 |
[271/1010] 	| 87.11 | 98.27 | 66.27 | 88.99 |
[272/1010] 	| 86.92 | 98.19 | 65.18 | 90.48 |
[273/1010] 	| 87.33 | 98.24 | 66.96 | 87.60 |
[274/1010] 	| 88.11 | 98.11 | 67.46 | 87.10 |
[275/1010] 	| 86.21 | 97.95 | 67.16 | 88.19 |
[276/1010] 	| 85.71 | 97.81 | 66.67 | 87.90 |
[277/1010] 	| 87.08 | 98.11 | 65.48 | 88.29 |
[278/1010] 	| 87.97 | 98.38 | 64.19 | 88.39 |
[279/1010] 	| 88.13 | 98.25 | 65.18 | 87.20 |
[280/1010] 	| 87.54 | 98.00 | 64.09 | 87.30 |
[281/1010] 	| 87.96 | 98.20 | 66.27 | 88.69 |
[282/1010] 	| 87.78 | 98.47 | 66.57 | 88.39 |
[283/1010] 	| 87.67 | 98.28 | 66.27 | 87.40 |
[284/1010] 	| 87.57 | 98.27 | 66.17 | 88.10 |
[285/1010] 	| 88.43 | 98.58 | 67.16 | 88.79 |
[286/1010] 	| 87.63 | 98.02 | 67.36 | 89.78 |
[287/1010] 	| 87.72 | 98.39 | 67.06 | 89.29 |
[288/1010] 	| 88.21 | 98.35 | 66.17 | 89.09 |
[289/1010] 	| 88.82 | 98.48 | 68.45 | 88.69 |
[290/1010] 	| 88.73 | 98.43 | 68.95 | 89.29 |
[291/1010] 	| 87.50 | 98.21 | 65.77 | 89.09 |
[292/1010] 	| 88.13 | 98.17 | 67.56 | 90.08 |
[293/1010] 	| 88.26 | 98.23 | 68.35 | 89.68 |
[294/1010] 	| 88.62 | 98.50 | 66.77 | 88.69 |
[295/1010] 	| 88.68 | 98.44 | 68.45 | 88.89 |
[296/1010] 	| 88.93 | 98.57 | 66.27 | 88.29 |
[297/1010] 	| 89.20 | 98.34 | 67.46 | 89.29 |
