Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[246/1010] 	| 83.52 | 97.23 | 65.08 | 88.19 |
[247/1010] 	| 82.85 | 97.35 | 65.58 | 87.70 |
[248/1010] 	| 83.93 | 97.40 | 66.37 | 89.58 |
[249/1010] 	| 83.56 | 97.12 | 66.37 | 87.20 |
[250/1010] 	| 83.82 | 97.56 | 66.47 | 88.39 |
[251/1010] 	| 84.29 | 97.33 | 64.38 | 89.58 |
[252/1010] 	| 84.60 | 97.46 | 65.18 | 88.89 |
[253/1010] 	| 84.30 | 97.41 | 67.06 | 88.49 |
[254/1010] 	| 84.27 | 97.13 | 66.17 | 88.29 |
[255/1010] 	| 83.11 | 96.77 | 67.46 | 88.69 |
[256/1010] 	| 84.36 | 97.61 | 65.97 | 88.39 |
[257/1010] 	| 83.29 | 97.34 | 64.19 | 87.80 |
[258/1010] 	| 83.23 | 97.05 | 66.57 | 88.69 |
[259/1010] 	| 83.55 | 97.30 | 66.57 | 88.99 |
[260/1010] 	| 84.64 | 97.40 | 63.79 | 87.10 |
[261/1010] 	| 83.95 | 97.13 | 65.87 | 87.10 |
[262/1010] 	| 85.43 | 97.50 | 65.58 | 89.09 |
[263/1010] 	| 84.71 | 97.65 | 63.49 | 87.30 |
[264/1010] 	| 83.56 | 97.22 | 64.09 | 88.00 |
[265/1010] 	| 83.95 | 97.31 | 63.89 | 87.60 |
[266/1010] 	| 84.39 | 97.56 | 66.57 | 88.99 |
[267/1010] 	| 84.78 | 97.52 | 64.68 | 87.00 |
[268/1010] 	| 84.76 | 97.45 | 64.68 | 87.10 |
[269/1010] 	| 84.32 | 97.43 | 64.58 | 88.39 |
[270/1010] 	| 85.21 | 97.49 | 65.38 | 87.70 |
[271/1010] 	| 85.38 | 97.33 | 64.78 | 87.10 |
[272/1010] 	| 85.13 | 97.59 | 63.00 | 87.60 |
[273/1010] 	| 85.23 | 97.70 | 63.99 | 88.79 |
[274/1010] 	| 85.44 | 97.71 | 66.87 | 89.78 |
[275/1010] 	| 85.62 | 97.44 | 64.48 | 89.68 |
[276/1010] 	| 85.09 | 97.71 | 64.78 | 88.10 |
[277/1010] 	| 85.64 | 97.63 | 65.97 | 88.49 |
[278/1010] 	| 85.31 | 97.52 | 66.37 | 87.60 |
[279/1010] 	| 84.88 | 97.71 | 64.19 | 88.19 |
[280/1010] 	| 85.64 | 97.79 | 62.80 | 86.61 |
[281/1010] 	| 85.31 | 97.73 | 65.18 | 88.39 |
[282/1010] 	| 85.40 | 97.73 | 65.67 | 87.70 |
[283/1010] 	| 83.55 | 97.06 | 64.09 | 88.69 |
[284/1010] 	| 85.83 | 97.70 | 65.38 | 88.29 |
[285/1010] 	| 85.26 | 97.79 | 66.77 | 88.59 |
[286/1010] 	| 85.50 | 97.49 | 63.89 | 87.50 |
[287/1010] 	| 84.70 | 97.59 | 64.58 | 89.29 |
[288/1010] 	| 84.90 | 97.93 | 64.98 | 87.40 |
[289/1010] 	| 85.92 | 98.11 | 65.67 | 88.00 |
[290/1010] 	| 86.35 | 97.79 | 66.17 | 88.99 |
[291/1010] 	| 85.38 | 97.30 | 63.59 | 87.10 |
[292/1010] 	| 86.42 | 98.04 | 64.19 | 87.10 |
[293/1010] 	| 85.75 | 97.60 | 67.56 | 89.88 |
[294/1010] 	| 86.32 | 97.93 | 66.27 | 89.19 |
[295/1010] 	| 87.23 | 98.08 | 65.28 | 88.79 |
[296/1010] 	| 86.43 | 97.95 | 65.97 | 85.62 |
[297/1010] 	| 86.04 | 97.79 | 65.67 | 89.48 |
[298/1010] 	| 86.81 | 98.12 | 67.26 | 88.19 |
[299/1010] 	| 86.08 | 97.89 | 66.27 | 87.40 |
[300/1010] 	| 87.01 | 97.82 | 66.37 | 87.70 |
[301/1010] 	| 85.13 | 97.63 | 67.76 | 88.39 |
[302/1010] 	| 86.79 | 97.78 | 64.78 | 87.90 |
[303/1010] 	| 87.29 | 98.06 | 66.37 | 88.89 |
[304/1010] 	| 86.83 | 98.05 | 66.57 | 89.09 |
[305/1010] 	| 86.85 | 97.84 | 65.48 | 87.70 |
[306/1010] 	| 86.77 | 98.09 | 67.46 | 89.09 |
[307/1010] 	| 87.06 | 98.34 | 65.58 | 89.19 |
[308/1010] 	| 86.50 | 98.01 | 65.67 | 88.39 |
[309/1010] 	| 86.85 | 98.08 | 66.17 | 88.49 |
[310/1010] 	| 86.58 | 97.99 | 67.36 | 89.19 |
[311/1010] 	| 87.03 | 97.84 | 63.79 | 88.19 |
[312/1010] 	| 87.81 | 98.32 | 67.86 | 88.10 |
[313/1010] 	| 87.00 | 98.19 | 65.97 | 88.49 |
[314/1010] 	| 87.43 | 98.23 | 65.87 | 87.60 |
[315/1010] 	| 86.28 | 98.08 | 62.20 | 87.10 |
[316/1010] 	| 87.12 | 98.21 | 66.17 | 88.69 |
[317/1010] 	| 87.30 | 98.21 | 65.67 | 87.10 |
[318/1010] 	| 87.60 | 98.41 | 63.39 | 87.00 |
[319/1010] 	| 86.49 | 97.99 | 66.27 | 88.19 |
[320/1010] 	| 86.99 | 97.92 | 67.76 | 87.30 |
[321/1010] 	| 87.09 | 98.11 | 68.15 | 88.99 |
[322/1010] 	| 87.24 | 98.13 | 66.37 | 88.59 |
[323/1010] 	| 87.08 | 98.17 | 66.07 | 88.89 |
[324/1010] 	| 87.27 | 98.01 | 65.08 | 88.59 |
[325/1010] 	| 88.17 | 98.03 | 67.26 | 88.00 |
[326/1010] 	| 88.57 | 98.28 | 65.28 | 87.80 |
[327/1010] 	| 87.98 | 98.32 | 65.67 | 89.19 |
[328/1010] 	| 86.82 | 98.08 | 66.47 | 87.70 |
[329/1010] 	| 87.66 | 98.22 | 65.67 | 87.80 |
[330/1010] 	| 88.20 | 98.23 | 66.87 | 88.10 |
[331/1010] 	| 88.06 | 98.33 | 65.87 | 87.20 |
[332/1010] 	| 87.50 | 98.15 | 66.27 | 88.10 |
[333/1010] 	| 88.50 | 98.35 | 65.38 | 89.88 |
[334/1010] 	| 89.21 | 98.47 | 65.97 | 87.10 |
[335/1010] 	| 88.73 | 98.58 | 66.67 | 88.00 |
[336/1010] 	| 88.98 | 98.23 | 65.58 | 86.31 |
[337/1010] 	| 89.44 | 98.51 | 66.17 | 89.48 |
[338/1010] 	| 88.08 | 98.41 | 65.38 | 88.39 |
[339/1010] 	| 87.26 | 98.10 | 64.98 | 87.90 |
[340/1010] 	| 88.58 | 98.12 | 64.48 | 86.41 |
[341/1010] 	| 87.91 | 98.34 | 64.09 | 86.90 |
[342/1010] 	| 88.78 | 98.48 | 63.89 | 86.21 |
[343/1010] 	| 88.02 | 98.29 | 67.46 | 87.30 |
[344/1010] 	| 89.20 | 98.60 | 67.06 | 89.09 |
[345/1010] 	| 89.17 | 98.58 | 65.67 | 87.80 |
[346/1010] 	| 88.51 | 98.41 | 62.20 | 87.30 |
[347/1010] 	| 88.32 | 98.49 | 66.47 | 88.79 |
[348/1010] 	| 89.50 | 98.43 | 64.38 | 88.00 |
[349/1010] 	| 88.77 | 98.63 | 63.69 | 88.59 |
[350/1010] 	| 88.68 | 98.44 | 64.88 | 89.78 |
[351/1010] 	| 89.49 | 98.62 | 65.18 | 87.40 |
[352/1010] 	| 89.21 | 98.62 | 62.70 | 86.81 |
[353/1010] 	| 88.32 | 98.35 | 65.77 | 89.98 |
[354/1010] 	| 88.50 | 98.33 | 65.28 | 88.00 |
[355/1010] 	| 89.29 | 98.39 | 64.19 | 85.91 |
[356/1010] 	| 89.31 | 98.52 | 65.87 | 87.90 |
[357/1010] 	| 88.89 | 98.53 | 65.67 | 89.19 |
[358/1010] 	| 87.68 | 98.39 | 64.48 | 85.71 |
[359/1010] 	| 88.88 | 98.43 | 65.58 | 87.40 |
[360/1010] 	| 89.68 | 98.65 | 66.57 | 88.29 |
[361/1010] 	| 89.41 | 98.72 | 65.58 | 88.59 |
[362/1010] 	| 90.58 | 98.82 | 65.38 | 88.29 |
[363/1010] 	| 88.72 | 98.62 | 66.77 | 87.80 |
[364/1010] 	| 88.80 | 98.43 | 67.06 | 87.90 |
[365/1010] 	| 89.25 | 98.73 | 67.06 | 88.00 |
[366/1010] 	| 87.39 | 98.20 | 65.77 | 89.38 |
[367/1010] 	| 88.27 | 98.23 | 65.58 | 88.49 |
[368/1010] 	| 88.91 | 98.25 | 66.17 | 89.09 |
[369/1010] 	| 89.75 | 98.48 | 66.67 | 88.49 |
[370/1010] 	| 89.11 | 98.67 | 64.29 | 86.41 |
[371/1010] 	| 90.48 | 98.64 | 64.98 | 86.31 |
[372/1010] 	| 89.50 | 98.81 | 64.19 | 87.60 |
[373/1010] 	| 89.87 | 98.69 | 65.77 | 87.30 |
[374/1010] 	| 89.48 | 98.69 | 64.58 | 88.59 |
[375/1010] 	| 90.50 | 98.82 | 65.87 | 87.50 |
[376/1010] 	| 89.37 | 98.41 | 65.08 | 88.29 |
[377/1010] 	| 89.74 | 98.88 | 65.38 | 87.30 |
[378/1010] 	| 89.99 | 98.62 | 64.98 | 86.81 |
[379/1010] 	| 89.95 | 98.77 | 64.88 | 86.71 |
[380/1010] 	| 89.71 | 98.52 | 64.09 | 87.80 |
[381/1010] 	| 90.10 | 98.50 | 66.17 | 89.48 |
[382/1010] 	| 90.32 | 98.83 | 66.47 | 86.51 |
[383/1010] 	| 89.88 | 98.68 | 65.77 | 88.69 |
[384/1010] 	| 90.76 | 99.07 | 66.67 | 87.50 |
[385/1010] 	| 90.54 | 98.91 | 65.77 | 88.59 |
[386/1010] 	| 90.05 | 98.79 | 68.06 | 87.30 |
[387/1010] 	| 89.82 | 98.64 | 64.29 | 87.10 |
[388/1010] 	| 89.58 | 98.81 | 66.07 | 87.50 |
[389/1010] 	| 90.61 | 98.83 | 65.58 | 87.80 |
[390/1010] 	| 90.27 | 98.61 | 64.98 | 88.39 |
[391/1010] 	| 90.31 | 98.72 | 65.97 | 87.80 |
[392/1010] 	| 89.69 | 98.82 | 67.46 | 89.88 |
[393/1010] 	| 90.65 | 98.87 | 64.09 | 86.51 |
[394/1010] 	| 90.45 | 98.84 | 65.48 | 86.81 |
[395/1010] 	| 90.58 | 98.97 | 65.58 | 88.69 |
[396/1010] 	| 90.95 | 99.05 | 64.38 | 87.80 |
[397/1010] 	| 90.05 | 98.85 | 66.07 | 88.69 |
[398/1010] 	| 90.35 | 98.79 | 67.16 | 87.60 |
