Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[173/1010] 	| 37.56 | 71.67 | 38.99 | 70.83 |
[174/1010] 	| 40.84 | 73.82 | 43.25 | 74.40 |
[175/1010] 	| 41.51 | 75.01 | 40.28 | 73.71 |
[176/1010] 	| 42.80 | 76.45 | 41.96 | 76.19 |
[177/1010] 	| 45.06 | 77.85 | 43.55 | 77.88 |
[178/1010] 	| 46.53 | 79.25 | 45.54 | 77.68 |
[179/1010] 	| 46.73 | 79.77 | 43.25 | 78.08 |
[180/1010] 	| 48.81 | 80.46 | 46.53 | 78.08 |
[181/1010] 	| 48.23 | 80.34 | 46.33 | 78.47 |
[182/1010] 	| 48.33 | 80.13 | 43.25 | 77.58 |
[183/1010] 	| 48.82 | 80.87 | 46.63 | 79.07 |
[184/1010] 	| 48.39 | 81.09 | 47.02 | 78.87 |
[185/1010] 	| 49.78 | 81.52 | 46.23 | 78.77 |
[186/1010] 	| 50.20 | 82.67 | 42.56 | 77.48 |
[187/1010] 	| 50.81 | 82.73 | 46.83 | 78.87 |
[188/1010] 	| 51.97 | 83.16 | 47.32 | 77.88 |
[189/1010] 	| 52.30 | 83.71 | 46.83 | 80.56 |
[190/1010] 	| 51.70 | 83.54 | 48.31 | 81.55 |
[191/1010] 	| 52.71 | 84.25 | 50.60 | 80.85 |
[192/1010] 	| 53.04 | 83.70 | 44.94 | 80.26 |
[193/1010] 	| 52.75 | 84.45 | 48.51 | 80.06 |
[194/1010] 	| 54.01 | 84.26 | 49.70 | 80.75 |
[195/1010] 	| 46.05 | 77.38 | 40.08 | 75.50 |
[196/1010] 	| 47.56 | 80.24 | 46.92 | 80.65 |
[197/1010] 	| 51.20 | 82.65 | 47.72 | 80.06 |
[198/1010] 	| 47.64 | 80.50 | 47.82 | 78.97 |
[199/1010] 	| 53.15 | 83.96 | 47.82 | 82.24 |
[200/1010] 	| 54.80 | 84.75 | 47.22 | 81.65 |
[201/1010] 	| 54.97 | 84.81 | 49.50 | 79.37 |
[202/1010] 	| 54.62 | 85.23 | 48.12 | 81.35 |
[203/1010] 	| 54.76 | 85.51 | 48.31 | 80.75 |
[204/1010] 	| 54.37 | 85.32 | 48.21 | 79.46 |
[205/1010] 	| 54.10 | 84.56 | 50.69 | 80.56 |
[206/1010] 	| 55.05 | 86.04 | 50.00 | 80.26 |
[207/1010] 	| 55.50 | 85.50 | 47.12 | 79.76 |
[208/1010] 	| 56.25 | 85.85 | 50.10 | 81.15 |
[209/1010] 	| 56.51 | 86.04 | 47.52 | 80.16 |
[210/1010] 	| 55.32 | 86.18 | 47.72 | 80.36 |
[211/1010] 	| 56.55 | 86.44 | 47.92 | 79.96 |
[212/1010] 	| 57.35 | 86.64 | 49.90 | 81.05 |
[213/1010] 	| 58.21 | 87.32 | 52.38 | 80.56 |
[214/1010] 	| 56.72 | 85.92 | 47.22 | 80.26 |
[215/1010] 	| 58.17 | 87.01 | 46.92 | 79.37 |
[216/1010] 	| 56.88 | 86.58 | 49.50 | 80.85 |
[217/1010] 	| 58.00 | 87.08 | 51.19 | 81.25 |
[218/1010] 	| 58.90 | 87.46 | 49.50 | 80.65 |
[219/1010] 	| 58.79 | 87.21 | 47.32 | 80.56 |
[220/1010] 	| 58.13 | 87.23 | 49.31 | 79.86 |
[221/1010] 	| 59.34 | 88.20 | 49.60 | 79.07 |
[222/1010] 	| 59.34 | 88.16 | 47.32 | 80.95 |
[223/1010] 	| 59.25 | 87.97 | 49.21 | 80.65 |
[224/1010] 	| 60.05 | 88.33 | 49.31 | 79.56 |
[225/1010] 	| 60.00 | 88.60 | 48.71 | 80.16 |
[226/1010] 	| 59.27 | 88.01 | 47.92 | 78.67 |
[227/1010] 	| 60.85 | 88.77 | 49.80 | 81.25 |
[228/1010] 	| 60.40 | 88.77 | 49.21 | 81.35 |
[229/1010] 	| 61.24 | 88.85 | 50.69 | 81.45 |
[230/1010] 	| 59.90 | 88.12 | 46.43 | 80.36 |
[231/1010] 	| 61.15 | 89.55 | 51.69 | 79.07 |
[232/1010] 	| 61.80 | 89.61 | 50.60 | 81.94 |
[233/1010] 	| 61.52 | 88.91 | 45.04 | 80.56 |
[234/1010] 	| 61.24 | 88.82 | 49.01 | 82.14 |
[235/1010] 	| 63.15 | 90.17 | 49.90 | 81.94 |
[236/1010] 	| 62.08 | 89.28 | 51.79 | 81.25 |
[237/1010] 	| 61.92 | 89.94 | 47.32 | 80.56 |
[238/1010] 	| 60.94 | 88.95 | 48.71 | 80.46 |
