Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[217/1010] 	| 78.93 | 95.90 | 60.22 | 85.02 |
[218/1010] 	| 79.46 | 96.36 | 61.11 | 87.50 |
[219/1010] 	| 79.50 | 96.39 | 61.81 | 86.31 |
[220/1010] 	| 78.83 | 96.22 | 61.90 | 87.40 |
[221/1010] 	| 78.96 | 96.04 | 60.81 | 86.90 |
[222/1010] 	| 81.06 | 96.62 | 60.81 | 86.90 |
[223/1010] 	| 80.02 | 96.49 | 60.62 | 86.41 |
[224/1010] 	| 77.39 | 95.46 | 60.62 | 85.81 |
[225/1010] 	| 79.62 | 95.86 | 62.80 | 87.50 |
[226/1010] 	| 81.01 | 96.50 | 63.10 | 85.32 |
[227/1010] 	| 78.73 | 95.91 | 59.33 | 86.61 |
[228/1010] 	| 80.79 | 96.71 | 61.61 | 86.81 |
[229/1010] 	| 81.25 | 96.64 | 63.19 | 86.71 |
[230/1010] 	| 80.75 | 96.89 | 57.74 | 85.81 |
[231/1010] 	| 79.52 | 96.44 | 60.52 | 86.61 |
[232/1010] 	| 80.25 | 96.27 | 60.32 | 86.61 |
[233/1010] 	| 78.78 | 96.32 | 60.81 | 87.10 |
[234/1010] 	| 80.22 | 96.64 | 62.70 | 88.29 |
[235/1010] 	| 81.46 | 97.18 | 62.20 | 85.91 |
[236/1010] 	| 81.71 | 96.75 | 62.40 | 88.59 |
[237/1010] 	| 80.99 | 96.89 | 61.51 | 86.51 |
[238/1010] 	| 80.79 | 96.65 | 61.31 | 86.01 |
[239/1010] 	| 80.52 | 96.57 | 62.30 | 87.30 |
[240/1010] 	| 81.52 | 96.84 | 64.09 | 87.60 |
[241/1010] 	| 80.63 | 96.44 | 61.11 | 87.00 |
[242/1010] 	| 81.04 | 96.84 | 63.29 | 87.20 |
[243/1010] 	| 80.91 | 96.73 | 62.30 | 87.10 |
[244/1010] 	| 80.32 | 96.50 | 61.61 | 86.90 |
[245/1010] 	| 80.64 | 97.04 | 59.72 | 87.30 |
[246/1010] 	| 82.00 | 97.35 | 61.51 | 87.10 |
[247/1010] 	| 82.42 | 97.10 | 62.80 | 87.80 |
[248/1010] 	| 81.52 | 96.93 | 63.00 | 87.90 |
[249/1010] 	| 79.90 | 96.82 | 62.70 | 87.80 |
[250/1010] 	| 82.92 | 97.10 | 63.29 | 87.60 |
[251/1010] 	| 82.82 | 97.23 | 62.20 | 85.52 |
[252/1010] 	| 82.48 | 97.20 | 61.31 | 86.81 |
[253/1010] 	| 82.48 | 96.94 | 62.50 | 85.81 |
[254/1010] 	| 81.37 | 97.05 | 62.60 | 87.70 |
[255/1010] 	| 81.17 | 96.70 | 62.10 | 87.60 |
[256/1010] 	| 83.61 | 97.30 | 59.03 | 86.21 |
[257/1010] 	| 81.18 | 96.82 | 61.51 | 86.41 |
[258/1010] 	| 83.35 | 97.22 | 60.62 | 85.02 |
[259/1010] 	| 82.76 | 97.24 | 63.99 | 88.89 |
[260/1010] 	| 83.63 | 97.13 | 63.59 | 86.81 |
