Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[214/610] 	| 74.25 | 94.62 | 61.41 | 85.62 |
[215/610] 	| 75.78 | 94.95 | 60.12 | 86.61 |
[216/610] 	| 75.54 | 94.81 | 62.20 | 87.30 |
[217/610] 	| 74.71 | 94.28 | 63.29 | 87.20 |
[218/610] 	| 71.50 | 92.99 | 62.40 | 85.12 |
[219/610] 	| 76.09 | 94.65 | 63.00 | 87.60 |
[220/610] 	| 76.08 | 94.68 | 63.79 | 86.71 |
[221/610] 	| 76.36 | 94.86 | 61.81 | 86.51 |
[222/610] 	| 76.50 | 95.47 | 61.51 | 86.90 |
[223/610] 	| 76.41 | 94.82 | 60.52 | 88.19 |
[224/610] 	| 76.31 | 95.22 | 62.00 | 88.59 |
[225/610] 	| 76.86 | 95.28 | 61.71 | 86.90 |
[226/610] 	| 77.42 | 95.15 | 62.10 | 86.90 |
[227/610] 	| 78.37 | 95.40 | 61.71 | 87.70 |
[228/610] 	| 78.68 | 95.82 | 60.32 | 87.80 |
[229/610] 	| 77.28 | 95.84 | 60.71 | 86.31 |
[230/610] 	| 77.04 | 95.74 | 62.50 | 87.30 |
[231/610] 	| 78.90 | 96.30 | 62.10 | 86.51 |
[232/610] 	| 77.94 | 95.56 | 60.71 | 85.52 |
[233/610] 	| 78.06 | 95.87 | 63.00 | 86.61 |
[234/610] 	| 79.14 | 96.10 | 60.62 | 86.41 |
[235/610] 	| 78.29 | 95.62 | 63.29 | 85.91 |
[236/610] 	| 78.70 | 96.41 | 63.00 | 86.21 |
[237/610] 	| 78.91 | 96.45 | 63.10 | 87.50 |
[238/610] 	| 79.69 | 96.56 | 61.81 | 86.51 |
[239/610] 	| 79.97 | 96.30 | 63.59 | 87.10 |
[240/610] 	| 79.14 | 96.24 | 62.80 | 86.90 |
[241/610] 	| 79.93 | 96.45 | 64.09 | 87.30 |
[242/610] 	| 81.04 | 96.56 | 60.91 | 86.31 |
[243/610] 	| 79.11 | 96.19 | 61.61 | 86.41 |
[244/610] 	| 80.66 | 96.54 | 62.90 | 86.51 |
[245/610] 	| 81.51 | 96.69 | 63.00 | 88.89 |
[246/610] 	| 80.42 | 96.45 | 62.30 | 87.40 |
